iter	Passed	Remaining
191	405	1706
192	407	1702
193	408	1695
194	409	1691
195	411	1686
196	412	1679
197	415	1683
198	417	1680
199	418	1675
200	420	1670
201	421	1665
202	423	1661
203	424	1655
204	425	1649
205	426	1643
206	429	1644
207	432	1645
208	433	1640
209	434	1634
210	435	1628
211	437	1625
212	439	1622
213	440	1616
214	441	1611
215	444	1613
216	447	1614
217	448	1609
218	449	1604
219	451	1599
220	452	1593
221	453	1589
222	455	1586
223	456	1582
224	460	1586
225	462	1582
226	463	1578
227	464	1573
228	465	1568
229	467	1564
230	468	1559
231	469	1554
232	470	1548
233	471	1543
234	477	1554
235	478	1550
236	479	1544
237	480	1539
238	482	1536
239	483	1531
240	484	1526
241	485	1521
242	486	1516
243	490	1518
244	492	1516
245	493	1511
246	494	1506
247	495	1503
248	497	1500
249	498	1495
250	499	1490
251	500	1485
252	501	1480
253	504	1482
254	506	1478
255	507	1473
256	508	1468
257	509	1466
258	511	1463
259	512	1458
260	513	1453
261	514	1448
262	515	1443
263	516	1439
264	519	1440
265	520	1437
266	521	1432
267	522	1427
268	523	1423
269	524	1419
270	525	1414
271	527	1410
272	528	1406
273	529	1401
274	530	1397
275	531	1393
276	533	1393
277	535	1390
278	536	1386
279	537	1382
280	538	1377
281	539	1373
282	540	1369
283	541	1364
284	542	1360
285	543	1357
286	544	1353
287	545	1349
288	548	1349
289	549	1346
290	551	1342
291	552	1338
292	554	1337
293	555	1334
294	556	1330
295	557	1326
296	558	1322
297	559	1318
298	560	1314
299	565	1319
300	566	1316
301	567	1312
302	568	1308
303	571	1308
304	572	1304
305	573	1301
306	574	1297
307	576	1294
308	579	1295
309	581	1293
310	582	1290
311	583	1287
312	584	1283
313	586	1282
314	587	1278
315	588	1274
316	589	1271
317	595	1277
318	597	1275
319	599	1272
320	604	1279
321	611	1287
322	615	1290
323	620	1295
324	627	1302
325	629	1300
326	630	1297
327	634	1298
328	638	1301
329	643	1306
330	646	1306
331	647	1303
332	649	1300
333	650	1297
334	651	1293
335	652	1289
336	653	1285
337	656	1284
338	658	1283
339	659	1280
340	660	1277
341	661	1273
342	662	1269
343	663	1266
344	664	1262
345	666	1259
346	667	1256
347	670	1256
348	671	1253
349	673	1250
350	674	1247
351	675	1243
352	676	1240
353	677	1236
354	678	1233
355	679	1229
356	680	1226
357	681	1222
358	682	1219
359	686	1219
360	687	1216
361	688	1213
362	689	1209
363	690	1206
364	691	1202
365	692	1199
366	693	1195
367	694	1192
368	695	1189
369	696	1185
370	697	1182
371	700	1182
372	701	1179
373	702	1176
374	704	1173
375	705	1170
376	706	1167
377	707	1163
378	708	1160
379	709	1157
380	710	1154
381	711	1150
382	712	1148
383	715	1148
384	717	1145
385	718	1142
386	719	1139
387	721	1138
388	722	1135
389	723	1132
390	724	1128
391	725	1125
392	726	1122
393	727	1119
394	733	1123
395	735	1122
396	736	1119
397	740	1120
398	742	1118
399	759	1138
400	765	1142
401	768	1143
402	770	1141
403	773	1141
404	775	1138
405	778	1139
406	782	1140
407	784	1138
408	788	1138
409	789	1136
410	794	1138
411	797	1138
412	799	1136
413	800	1133
414	801	1130
415	803	1127
416	804	1124
417	805	1120
418	806	1117
419	810	1119
420	812	1116
421	814	1115
422	818	1116
423	819	1113
424	820	1110
425	824	1111
426	828	1111
427	832	1112
428	833	1109
429	835	1106
430	836	1103
431	837	1100
432	842	1103
433	843	1100
434	845	1097
435	846	1094
436	849	1094
437	851	1092
438	852	1089
439	854	1088
440	857	1086
441	858	1083
442	859	1080
443	860	1077
444	861	1075
445	863	1072
446	865	1070
447	868	1070
448	870	1068
449	872	1066
450	873	1063
451	874	1060
452	876	1057
453	877	1054
454	878	1052
